mes,linha,frame,node_id,altura_px,link_figma,copy
agosto,PT (master Brasil),campanha - 29/07,3668:1886,3960,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=3668-1886,"6.747 AVALIAÇÕES · NÃO MENTEM... · Presentes que transformam a casa do pai. Quem já deu, aprova. · VER OS PRESENTES · VEJA O QUE ESTÃO · DIZENDO · C · Camila Ferreira · ""Comprei o kit de organização de cozinha pra dar pro meu pai no aniversário dele e fiquei surpresa com a agilidade. Acompanhei cada etapa pelo rastreio, chegou três dias antes do prazo e numa embalagem super bem cuidada. Meu pai abriu e já quis instalar tudo no mesmo dia. Voltei pra comprar o kit do banheiro também."" · APROVEITAR AGORA · R · Roberto Mendes · ""Ganhei dos meus filhos um organizador de gavetas e a luminária de LED pra mesa. O acabamento é sério — material firme, encaixe perfeito, nada de peça solta ou plástico frágil. Já faz quatro meses que uso todo dia e continua com cara de novo. Minha esposa pediu o mesmo pra cozinha depois que viu."" · APROVEITAR AGORA · T · Thiago Oliveira · ""Comprei pra renovar meu home office e acabei equipando a casa inteira. Antes de fechar o pedido, mandei uma mensagem tirando dúvida sobre tamanho e me responderam em minutos com foto de referência e tudo. Isso fez eu confiar e levar mais peças. Do pedido à entrega, tudo impecável. Já indiquei pra três amigos."" · APROVEITAR AGORA · VER TODA A LOJA · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 31/07,3670:2205,1934,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=3670-2205,Pra fechar o mês com chave de ouro e destravar o presente do pai. · SEXTA-FEIRA · PREMIADA · Pra fechar o mês com chave de ouro e destravar o presente do pai. · PAI · CUPOM: · Aplique o cupom no checkout pra descobrir seu desconto. Válido até sábado às 23h59. · USAR MINHA CHAVE DE OURO · DESTRAVE COM A CHAVE: · Aplique o cupom PAI no checkout pra descobrir o desconto em cada um. · VER TODOS OS PRODUTOS · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online.
agosto,PT (master Brasil),campanha - 03/08,3991:1960,2830,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=3991-1960,"ESQUENTA · 8 · Dia dos Pais · O presente que transforma a casa do pai já tá no site. E os favoritos não duram muito. · O presente que transforma a casa do pai já tá no site. Os favoritos não duram muito. · APROVEITAR O ESQUENTA · O Dia dos Pais tá logo ali · A AchaTudo preparou o maior esquenta 8.8 que o site já teve. Tem oferta ativa agora — aquelas peças que deixam qualquer ambiente do pai mais bonito e organizado, do jeito que ele merece. São itens que resolvem de verdade: design que impressiona, praticidade que ele vai usar todo dia. Garanta agora o que já tá disponível. No dia 8.8, vêm as ofertas relâmpago em três horários , e aí é cada um por si. · APROVEITAR AS OFERTAS ATIVAS · MARQUE ESSES HORÁRIOS · 07AM · OFERTAS · RELÂMPAGO · 11AM · LIBERADAS ÀS: · 18PM · Só no dia 8.8. Válido em todo o site, enquanto durar. · JÁ EM OFERTA NO ESQUENTA: · VER TODAS AS OFERTAS ATIVAS · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 05/08,4002:2250,3399,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=4002-2250,"ESQUENTA · 8 · Dia dos Pais · FALTAM 3 DIAS O presente do pai já está no site. No 8.8, você só confirma. · QUERO ME PREPARAR · Faltam 3 dias pro 8.8 · Faltam quantos dias PARA O 8.8? · Faltam 3 DIAS para o 8.8 · É no dia 8.8 · Começa a partir das 7am · Um dia inteiro de ofertas · quem deixa pra última hora já sabe como termina: sem estoque, sem o presente certo, sem tempo. Agora é a hora de abrir o site, escolher com calma e deixar tudo separado. Quando o dia chegar, você só finaliza. Sem disputa, sem correria, sem arrependimento. E tem mais: o esquenta já está rolando. Já tem condição especial no site agora mesmo, nos itens que todo pai quer ter em casa. · Quem deixa pra última hora já sabe como termina: sem estoque, sem o presente certo, sem tempo. Agora é a hora de abrir o site, escolher com calma e deixar tudo separado. Quando o dia chegar, você só finaliza. Sem disputa, sem correria, sem arrependimento. E tem mais: o esquenta já está rolando. Já tem condição especial no site agora mesmo, nos itens que todo pai quer ter em casa. · APROVEITAR AGORA · COMO VAI FUNCIONAR O 8.8: · ABERTURA ANTECIPADA · 7AM · O site abre com estoque completo. Quem chega primeiro, escolhe melhor. · DESTAQUES · 11PM · Os produtos que mais saem ganham vitrine exclusiva. Ainda dá tempo de garantir. · ÚLTIMA CHAMADA · 18PM · O encerramento do 8.8. Depois disso, as condições saem do ar de vez. · Somente no dia 8.8. Condições válidas em todo o site. · QUERO ME PREPARAR · JÁ EM OFERTA NO ESQUENTA: · VER TODAS AS OFERTAS ATIVAS · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 07/08,4002:2415,3250,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=4002-2415,"Quem chega antes · Anotou os horários: 07h, 11h e 18h? · Colocou o alarme às 6h55 pra entrar antes de todo mundo? · Já escolheu o que vai dar pro pai este ano? · Já passou no site pra ver o que tá em condição especial? · LEVA O MELHOR · ESQUENTA · 8 · Dia dos Pais · 7AM · 11AM · 18PM · PREPARAR MEU CARRINHO · Amanhã o 8.8 abre com tudo · Quem chegar primeiro escolhe melhor. Três horários, três levas de ofertas relâmpago: 07h, 11h e 18h. Aquele item de casa que o pai adora mas nunca compra pra ele mesmo? É amanhã que você resolve. Enquanto isso, o esquenta segue no ar. Tem peça no site agora mesmo com condição especial, pra quem já decidiu não deixar pra última hora. · VER O QUE JÁ TÁ NO AR · PRONTO PRA AMANHÃ? · Faltou algum? Ainda dá tempo. O esquenta tá rodando agora. · VER O QUE JÁ TÁ NO AR · JÁ EM OFERTA NO ESQUENTA: · VER TODAS AS OFERTAS ATIVAS · É AMANHÃ. · 8.8 · DIA DOS PAIS · Primeira leva começa às 07h → · ACESSAR O SITE · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 08/08 #2,6150:397,2770,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6150-397,"8 · Dia dos Pais · Os 100 primeiros garantem o presente pra pai com essa condição especial. · Use o cupom · para garantir · 0808 · 18%OFF em todo site · GARANTIR AGORA · Mas corre: essa oferta expira às 23h59. · OS MAIS ESCOLHIDOS DE HOJE: · VER TODOS OS PRODUTOS · AINDA NÃO SABE O QUE LEVAR? · O 18% OFF vale pra loja inteira. Escolha com calma, mas não demora, que os 100 primeiros desse horário saem na frente. · VER A LOJA INTEIRA · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 08/08 #3,6153:647,3230,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6153-647,"8 · Dia dos Pais · Rafa · Cara, corre no site da Acha Tudo. 18% OFF em tudo hoje com o cupom 0808. · Já garanti o presente pro pai. Metade das coisas que eu tava de olho já esgotou · Léo · Sério? ainda tem coisa boa? · Rafa · Tem sim! mas tá saindo rápido... e vai só até meia-noite. não deixa pra depois em · Léo · Tô indo agora!! · 18%OFF · 0808 · CUPOM: · GARANTIR O PRESENTE PARA O PAI · Só até meia-noite de hoje. · AINDA DÁ TEMPO DE GARANTIR ESSES: · VER TODOS OS PRODUTOS · É AGORA OU NUNCA · O 8.8 acaba à meia-noite. Últimas horas pra garantir o presente com 18% OFF. · 18%OFF · 0808 · CUPOM: · GARANTIR ANTES DA MEIA-NOITE · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 11/08,6155:868,1863,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6155-868,"Ainda dá TEMPO · ACHA TUDO: · Agora · Os itens que transformaram lares no 8.8 continuam no site, mas com poucas unidades no estoque. · QUERO APROVEITAR AGORA · OS MAIS ESCOLHIDOS DO 8.8 · VER TUDO QUE SOBROU · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 14/08,6488:111,2579,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6488-111,O FIM DE SEMANA COMEÇA AGORA · SEXTOU · Nesta sexta vale dar uma passada no site. Separamos o que está em destaque pro seu fim de semana. · CONFERIR O SITE AGORA · ALGUNS DESTAQUES DO QUE esTÁ NO SITE · VER TODO O SITE · Bom fim de semana · APROVEITAR O SITE · A gente volta na segunda com uma surpresa. · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online.
agosto,PT (master Brasil),campanha - 17/08,6491:253,2635,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6491-253,SEGUNDA TURBO | APENAS PARA OS · 100 PRIMEIROS · Aplique o código no checkout pra revelar sua oferta. Ninguém sabe quanto vale até digitar. Válido até meia-noite de hoje. · TURBO100 · CUPOM: · DESCOBRIR AGORA · $ · % · ? · APENAS OS MAIS RÁPIDOS GANHAM · Digite o cupom TURBO100 e descubra a surpresa no checkout. · REVELAR MINHA SURPRESA · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online.
